"","Year","Region","Alignment","Votes","Total_Votes","Percent_votes"
"1",1994,"Drenthe","Centre",95965,15814314,0.00606823666205186
"2",1994,"Drenthe","Centre-Left",98157,15814314,0.00620684526688922
"3",1994,"Drenthe","Centre-Right",51894,15814314,0.00328145754536049
"4",1994,"Drenthe","Left-Wing",9816,15814314,0.000620703496844694
"5",1994,"Drenthe","Right-Wing",687,15814314,4.344165671682e-05
"6",1994,"Flevoland","Centre",47855,15814314,0.00302605601482303
"7",1994,"Flevoland","Centre-Left",27849,15814314,0.00176099956027179
"8",1994,"Flevoland","Centre-Right",32584,15814314,0.00206041185219922
"9",1994,"Flevoland","Left-Wing",6083,15814314,0.000384651525194201
"10",1994,"Flevoland","Right-Wing",3312,15814314,0.00020943051971777
"11",1994,"Friesland","Centre",150653,15814314,0.00952636959149793
"12",1994,"Friesland","Centre-Left",119135,15814314,0.00753336502614024
"13",1994,"Friesland","Centre-Right",53699,15814314,0.00339559464925257
"14",1994,"Friesland","Left-Wing",13617,15814314,0.000861055370470069
"15",1994,"Friesland","Right-Wing",2187,15814314,0.000138292435574505
"16",1994,"Gelderland","Centre",450436,15814314,0.028482803617027
"17",1994,"Gelderland","Centre-Left",267997,15814314,0.0169464827876821
"18",1994,"Gelderland","Centre-Right",205673,15814314,0.0130054961599978
"19",1994,"Gelderland","Left-Wing",48664,15814314,0.00307721220155361
"20",1994,"Gelderland","Right-Wing",35647,15814314,0.00225409714262661
"21",1994,"Groningen","Centre",108829,15814314,0.00688167694153537
"22",1994,"Groningen","Centre-Left",120763,15814314,0.00763630973812712
"23",1994,"Groningen","Centre-Right",49268,15814314,0.00311540544850697
"24",1994,"Groningen","Left-Wing",21534,15814314,0.00136167778128093
"25",1994,"Groningen","Right-Wing",640,15814314,4.04696656459458e-05
"26",1994,"Limburg","Centre",272070,15814314,0.017204034269207
"27",1994,"Limburg","Centre-Left",153504,15814314,0.0097066493051801
"28",1994,"Limburg","Centre-Right",92573,15814314,0.00585374743412835
"29",1994,"Limburg","Left-Wing",33978,15814314,0.00214855984268429
"30",1994,"Limburg","Right-Wing",802,15814314,5.07135497625759e-05
"31",1994,"Netherlands","Centre",3383721,15814314,0.213965714858071
"32",1994,"Netherlands","Centre-Left",2151589,15814314,0.136053261621086
"33",1994,"Netherlands","Centre-Right",1787293,15814314,0.113017422064593
"34",1994,"Netherlands","Left-Wing",429361,15814314,0.0271501501740765
"35",1994,"Netherlands","Right-Wing",155193,15814314,0.00981345128217386
"36",1994,"Noord-Brabant","Centre",567994,15814314,0.0359164488576615
"37",1994,"Noord-Brabant","Centre-Left",274599,15814314,0.0173639526823611
"38",1994,"Noord-Brabant","Centre-Right",237315,15814314,0.0150063417230744
"39",1994,"Noord-Brabant","Left-Wing",66428,15814314,0.00420049835863889
"40",1994,"Noord-Brabant","Right-Wing",6353,15814314,0.000401724665388584
"41",1994,"Noord-Holland","Centre",465947,15814314,0.029463623904268
"42",1994,"Noord-Holland","Centre-Left",347060,15814314,0.0219459408735656
"43",1994,"Noord-Holland","Centre-Right",342020,15814314,0.0216272422566037
"44",1994,"Noord-Holland","Left-Wing",80752,15814314,0.00510626006287721
"45",1994,"Noord-Holland","Right-Wing",3986,15814314,0.000252050136351156
"46",1994,"NOP/ZIJP/Unspecified","Centre",0,15814314,0
"47",1994,"NOP/ZIJP/Unspecified","Centre-Left",0,15814314,0
"48",1994,"NOP/ZIJP/Unspecified","Centre-Right",0,15814314,0
"49",1994,"NOP/ZIJP/Unspecified","Left-Wing",0,15814314,0
"50",1994,"NOP/ZIJP/Unspecified","Right-Wing",0,15814314,0
"51",1994,"Overijssel","Centre",273983,15814314,0.0173250006291768
"52",1994,"Overijssel","Centre-Left",155579,15814314,0.00983785954926657
"53",1994,"Overijssel","Centre-Right",99222,15814314,0.00627418931987818
"54",1994,"Overijssel","Left-Wing",21324,15814314,0.00134839867224086
"55",1994,"Overijssel","Right-Wing",13818,15814314,0.000873765374836999
"56",1994,"Utrecht","Centre",237420,15814314,0.0150129812775945
"57",1994,"Utrecht","Centre-Left",121184,15814314,0.00766293119005984
"58",1994,"Utrecht","Centre-Right",147063,15814314,0.0092993600607652
"59",1994,"Utrecht","Left-Wing",35419,15814314,0.00223967982424024
"60",1994,"Utrecht","Right-Wing",14558,15814314,0.000920558425740124
"61",1994,"Zeeland","Centre",74092,15814314,0.00468512260474909
"62",1994,"Zeeland","Centre-Left",48282,15814314,0.00305305686987118
"63",1994,"Zeeland","Centre-Right",40440,15814314,0.0025571769980032
"64",1994,"Zeeland","Left-Wing",6355,15814314,0.000401851133093728
"65",1994,"Zeeland","Right-Wing",16963,15814314,0.00107263584117528
"66",1994,"Zuid-Holland","Centre",638477,15814314,0.040373360488479
"67",1994,"Zuid-Holland","Centre-Left",417480,15814314,0.026398868771671
"68",1994,"Zuid-Holland","Centre-Right",435542,15814314,0.0275409986168227
"69",1994,"Zuid-Holland","Left-Wing",85391,15814314,0.00539960190495775
"70",1994,"Zuid-Holland","Right-Wing",56240,15814314,0.00355627186863749
"71",1998,"Drenthe","Centre",70950,16114660,0.00440282326775743
"72",1998,"Drenthe","Centre-Left",101773,16114660,0.00631555366355852
"73",1998,"Drenthe","Centre-Right",58988,16114660,0.00366051781421389
"74",1998,"Drenthe","Left-Wing",23098,16114660,0.00143335323239833
"75",1998,"Drenthe","Right-Wing",675,16114660,4.18873249575232e-05
"76",1998,"Flevoland","Centre",35568,16114660,0.00220718277642842
"77",1998,"Flevoland","Centre-Left",38531,16114660,0.00239105261916789
"78",1998,"Flevoland","Centre-Right",43431,16114660,0.00269512357071139
"79",1998,"Flevoland","Left-Wing",13804,16114660,0.000856611309205407
"80",1998,"Flevoland","Right-Wing",3456,16114660,0.000214463103782519
"81",1998,"Friesland","Centre",121805,16114660,0.00755864535770534
"82",1998,"Friesland","Centre-Left",122277,16114660,0.00758793545752749
"83",1998,"Friesland","Centre-Right",59515,16114660,0.00369322095532887
"84",1998,"Friesland","Left-Wing",36436,16114660,0.00226104677355898
"85",1998,"Friesland","Right-Wing",1876,16114660,0.000116415735733798
"86",1998,"Gelderland","Centre",310805,16114660,0.0192870963458118
"87",1998,"Gelderland","Centre-Left",315803,16114660,0.0195972487163862
"88",1998,"Gelderland","Centre-Right",249891,16114660,0.0155070600310525
"89",1998,"Gelderland","Left-Wing",104049,16114660,0.00645679151778567
"90",1998,"Gelderland","Right-Wing",36330,16114660,0.00225446891215825
"91",1998,"Groningen","Centre",80378,16114660,0.00498788060064562
"92",1998,"Groningen","Centre-Left",120972,16114660,0.00750695329594295
"93",1998,"Groningen","Centre-Right",53555,16114660,0.003323371389778
"94",1998,"Groningen","Left-Wing",40403,16114660,0.00250722013371675
"95",1998,"Groningen","Right-Wing",641,16114660,3.97774448855887e-05
"96",1998,"Limburg","Centre",185873,16114660,0.0115344040767847
"97",1998,"Limburg","Centre-Left",175277,16114660,0.010876866157896
